run_id,n_generated,status,warnings,profile_evidence_complete,embedding_evidence_complete,legal_char_rate,length_in_train_range_rate,basic_fidelity_pass_rate,pf00741_hit_rate,gvpa_core95_hit_rate,profile_required_hard_fidelity_pass_rate,exact_copy_train_rate,mean_conservation_exact_fidelity,mean_conservation_property_fidelity,aa_composition_l1_distance,feature_mean_absolute_distance,mean_nearest_train_identity,novel_sequence_rate,unique_ratio,mean_pairwise_diversity,max_duplicate_fraction
aa_frequency_seed42,100,uncertain_without_profile_evidence,profile_evidence_unavailable_or_incomplete;conservation_property_fidelity_below_0.8,False,False,1.0,1.0,1.0,,,,0.0,0.5063461541870995,0.743388390179357,0.028310199809325295,0.013372984722979278,0.5583436268020371,1.0,1.0,0.5479872928099199,0.01
kmer3_seed42,100,uncertain_without_profile_evidence,profile_evidence_unavailable_or_incomplete,False,False,1.0,1.0,1.0,,,,0.0,0.6906284880689051,0.8429854352954679,0.07686451272980932,0.0068884335822403,0.7294790450885033,1.0,1.0,0.3791691096025532,0.01
formal_lstm_50ep_seed42,100,uncertain_without_profile_evidence,profile_evidence_unavailable_or_incomplete;exact_copy_train_rate_above_threshold,False,False,1.0,1.0,0.94,,,,0.06,0.9609954531830127,0.9837860549410742,0.03471502912757265,0.007958492570602188,0.9881117991064037,0.01,0.98,0.053847059756695695,0.02
formal_vae_50ep_seed42,100,uncertain_without_profile_evidence,profile_evidence_unavailable_or_incomplete,False,False,1.0,1.0,0.97,,,,0.03,0.8845656348542463,0.9421910126260414,0.12038175494755973,0.038519244958703285,0.90659217765564,0.54,0.99,0.2336998179301937,0.02
