run_id,n_generated,legal_char_rate,length_in_train_range_rate,exact_copy_train_rate,mean_nearest_train_identity,max_nearest_train_identity,novel_sequence_rate,unique_ratio,mean_pairwise_diversity,max_duplicate_fraction,aa_composition_l1_distance,family_profile_hit_rate,family_profile_status
lstm_temp0.8_seed42,20,1.0,0.0,0.0,0.6047394220626334,0.7454545454545455,1.0,1.0,0.3383524989116876,0.05,0.627133187338244,,not_run
vae_scale1_temp0.8_seed42,20,1.0,0.2,0.0,0.6092696985688314,1.0,0.9,0.95,0.5736730527787606,0.1,0.1591163839615081,,not_run
