model,training_or_generation_change,n_sampling_seeds,pf00741_hit_rate_mean,pf00741_hit_rate_range,novel_rate_mean,novel_rate_range,nearest_train_identity_mean,nearest_train_identity_range,pairwise_diversity_mean,pairwise_diversity_range,aa_composition_l1_mean,aa_composition_l1_range,exact_copy_train_rate_mean,hydrophobic_run_ge8_seed42
LSTM,441-sequence auxiliary pretraining plus blue fine-tuning; dropout and weight decay; temperature 1.0,3,0.9900,0.9800-1.0000,0.3200,0.2900-0.3700,0.9502,0.9437-0.9557,0.1322,0.1193-0.1462,0.0418,0.0351-0.0509,0.0000,0
VAE,original VAE checkpoint with empirical-length forced EOS; latent scale 0.75 and temperature 0.6,3,0.9667,0.9600-0.9700,0.3300,0.2800-0.3600,0.9419,0.9343-0.9496,0.1759,0.1627-0.1832,0.1117,0.0954-0.1242,0.0167,0
GAN,length-conditioned WGAN-GP with composition and hydrophobic-run regularizers; temperature 0.1,3,1.0000,1.0000-1.0000,0.9967,0.9900-1.0000,0.8919,0.8916-0.8920,0.1543,0.1521-0.1570,0.1704,0.1699-0.1710,0.0000,0
