model,model_type,n_generated,valid_candidate_rate,family_profile_hit_rate,aa_composition_l1_distance,fidelity_screen,mean_nearest_reference_full_length_identity,exact_copy_any_real_rate,novel_rate_identity_lt_0.90,novel_rate_identity_lt_0.95,novel_rate_identity_lt_0.98,unique_ratio,mean_pairwise_diversity,max_duplicate_fraction,interpretation
AA-frequency baseline,baseline,100,1.0,,0.029372722900099898,unassessed: profile_not_run,0.34519140294219247,0.0,1.0,1.0,1.0,1.0,0.5479872928099199,0.01,Not comparable as a final candidate until the fidelity screen passes.
3-mer baseline,baseline,100,1.0,,0.08170503510422375,unassessed: profile_not_run,0.5027652329296791,0.0,1.0,1.0,1.0,1.0,0.3791691096025532,0.01,Not comparable as a final candidate until the fidelity screen passes.
LSTM (auxiliary pretrain + fine-tune),deep,100,1.0,0.98,0.0396336576832481,pass,0.9007816229716501,0.0,0.17,0.42,0.84,1.0,0.13078235751836037,0.01,Eligible for fidelity--novelty--diversity Pareto comparison.
VAE (empirical length control),deep,100,1.0,0.97,0.09769688724090628,pass,0.7599511102128286,0.02,0.54,0.62,0.69,0.99,0.1764915537119482,0.02,Eligible for fidelity--novelty--diversity Pareto comparison.
GAN (composition + hydrophobic filter),deep,100,1.0,1.0,0.16988755718090617,pass,0.8551859663224317,0.0,0.74,1.0,1.0,1.0,0.15696761803106363,0.01,"Profile passes, but composition drift makes this an exploratory candidate."
